at_Q80_time_2	at_Q80_time_6	at_Q80_time_10	at_Q92_time_2	at_Q92_time_6	at_Q92_time_10	at_Q111_time_2	at_Q111_time_6	at_Q111_time_10	at_Q140_time_2	at_Q140_time_6	at_Q140_time_10	at_Q175_time_2	at_Q175_time_6	at_Q175_time_10
1700034H15Rik	0.03517029	-0.009060964	-0.05410455	0.0185929	-0.008883633	-0.1628259	-0.01664286	-0.05972576	-0.217535	-0.06819019	-0.1031742	-0.3487107	-0.0503296	-0.1313329	-0.3526991
1700034I23Rik	-0.01355856	0.008609787	-0.010806	-0.009310097	0.001136728	-0.02611856	-0.02973709	-0.01605163	-0.03526774	-0.02056052	0.01851559	-0.03543202	-0.0158271	-0.05374176	-0.01929866
1700034P13Rik	-0.006842593	0.01279613	0.006711835	-0.0485397	-0.02723579	0.1066836	-0.006902834	0.005654825	0.2719686	-0.04491627	0.02828779	0.1104968	-0.05620429	-0.04294806	0.2279807
1700037C18Rik	-0.03861928	0.04610229	0.06922335	0.01934757	0.05112591	0.06998044	0.02298406	0.07957811	0.1671	0.01286075	0.09016169	0.2405585	0.01220703	0.07810615	0.2371702
1700037F24Rik	-0.007094263	0.008547669	0.008063106	-0.00744582	0.02097782	-0.01046585	0.00455897	0.0634179	0.01181095	-0.001732769	0.06015188	-0.05385736	-0.0008096989	0.0976042	0.021795
1700037H04Rik	0.0383218	0.008671763	0.07091178	0.05873349	-0.003451157	-0.05032716	-0.000747728	-0.1189953	-0.1761936	0.01934889	-0.07146782	-0.2426929	-0.0146221	-0.16446	-0.2747551
1700039M10Rik	0.0006476606	0.002161209	-0.006889271	0.001222241	0.02415832	0.003735051	0.0008956077	0.02818597	-0.002680538	0.003108983	0.01119596	0.04151144	-0.000470815	0.02187744	-0.004988685
1700040L02Rik	-0.0008240924	0.0393747	0.008895461	-0.02074072	0.08720044	0.04493819	0.02983326	0.05461015	0.01349727	0.023147	0.118479	-0.07825969	0.0693717	0.01254041	-0.0614523
1700047I17Rik2	0.05208298	-0.02409029	0.006338902	0.07938008	-0.008305757	-0.0739487	0.1671244	0.07998124	-0.08696392	0.0520453	0.02810911	0.06749462	0.09060754	0.2158654	-0.07297167
1700048M11Rik	-0.03240695	-0.005423367	-0.006282502	-0.03453945	0.01210156	0.0359543	-0.03847057	0.007125291	0.04116716	-0.04352074	0.005546325	-0.03779948	-0.06921298	0.0909484	-0.007538788
